word;pos;CON_type;lemma;id;ref1;ref2;F
come;CON;subord;come_relemma;pen;s290849;9;1
come;CON;subord;come_relemma;pen;s290936;4;1
come;CON;subord;come_relemma;pen;s291145;4;1
come;CON;subord;come_relemma;pen;s291229;3;1
come;CON;subord;come_relemma;pen;s291333;10;1
come;CON;subord;come_relemma;pen;s291573;8;1
come;CON;subord;come_relemma;perc;s295851;1;1
come;CON;subord;come_relemma;perc;s296353;2;1
come;CON;subord;come_relemma;perc;s296664;1;1
come;CON;subord;come_relemma;perc;s296942;2;1
come;CON;subord;come_relemma;perc;s297032;1;1
come;CON;subord;come_relemma;pert;s321468;1;1
come;CON;subord;come_relemma;pert;s322617;2;1
come;CON;subord;come_relemma;pert;s322744;2;1
come;CON;subord;come_relemma;pert;s323074;1;1
come;CON;subord;come_relemma;pseuturp;s336947;1;1
come;CON;subord;come_relemma;pseuturp;s337210;2;1
come;CON;subord;come_relemma;pseuturp;s337211;3;1
come;CON;subord;come_relemma;pseuturp;s337220;6;1
come;CON;subord;come_relemma;pseuturp;s337246;12;1
come;CON;subord;come_relemma;pseuturp;s337470;19;1
come;CON;subord;come_relemma;queste;s337763;4;1
come;CON;subord;come_relemma;queste;s337929;9;1
come;CON;subord;come_relemma;queste;s338161;10;1
come;CON;subord;come_relemma;queste;s338169;54;1
come;CON;subord;come_relemma;queste;s338254;9;1
come;CON;subord;come_relemma;roma;s359907;4;1
come;CON;subord;come_relemma;roma;s360002;1;1
come;CON;subord;come_relemma;romh;s368491;1;1
come;CON;subord;come_relemma;romh;s369456;3;1
come;CON;subord;come_relemma;rose;s377098;5;1
come;CON;subord;come_relemma;rose;s377385;3;1
come;CON;subord;come_relemma;rose;s377809;1;1
come;CON;subord;come_relemma;rose;s378182;3;1
come;CON;subord;come_relemma;rose;s378194;5;1
come;CON;subord;come_relemma;rose;s378859;1;1
come;CON;subord;come_relemma;rose;s380156;2;1
come;CON;subord;come_relemma;rose;s380416;3;1
come;CON;subord;come_relemma;rose;s380884;4;1
come;CON;subord;come_relemma;rose;s381049;2;1
come;CON;subord;come_relemma;stsilv;s396461;1;1
come;CON;subord;come_relemma;stsilv;s396503;4;1
come;CON;subord;come_relemma;troi;s406828;7;1
come;CON;subord;come_relemma;yvg;s434601;3;1
come;CON;subord;come_relemma;yvg;s434723;4;1
come;CON;subord;come_relemma;yvg;s435214;1;1
come;CON;subord;come_relemma;yzop;s439705;2;1
come;CON;subord;come_relemma;yzop;s440253;2;1
come;CON;subord;come_relemma;yzop;s440738;4;1
come;CON;subord;come_relemma;yzop;s441776;1;1
come;CON;subord;come_relemma;yzop;s441918;4;1
come;CON;subord;come_relemma;yzop;s442021;2;1
come;CON;subord;come_relemma;yzop;s442104;2;1
come;CON;subord;come_relemma;yzop;s442412;3;1
comme;CON;subord;come_relemma;abe;s1151;1;1
comme;CON;subord;come_relemma;abe;s1409;3;1
comme;CON;subord;come_relemma;abe;s1469;2;1
comme;CON;subord;come_relemma;abe;s1658;6;1
comme;CON;subord;come_relemma;abe;s1663;3;1
comme;CON;subord;come_relemma;abe;s1666;7;1
comme;CON;subord;come_relemma;abe;s1687;10;1
comme;CON;subord;come_relemma;abe;s1731;7;1
comme;CON;subord;come_relemma;abe;s1821;4;1
comme;CON;subord;come_relemma;abe;s1938;9;1
comme;CON;subord;come_relemma;abe;s1948;9;1
comme;CON;subord;come_relemma;abe;s2038;3;1
comme;CON;subord;come_relemma;abe;s2140;8;1
comme;CON;subord;come_relemma;abe;s2145;8;1
comme;CON;subord;come_relemma;abe;s2175;10;1
comme;CON;subord;come_relemma;abe;s2234;10;1
comme;CON;subord;come_relemma;abe;s2255;10;1
comme;CON;subord;come_relemma;abe;s2333;2;1
comme;CON;subord;come_relemma;abe;s2334;1;1
comme;CON;subord;come_relemma;abe;s2340;11;1
comme;CON;subord;come_relemma;abe;s2346;5;1
comme;CON;subord;come_relemma;abe;s2367;1;1
comme;CON;subord;come_relemma;abe;s2367;9;1
comme;CON;subord;come_relemma;abe;s2468;4;1
comme;CON;subord;come_relemma;abe;s363;6;1
comme;CON;subord;come_relemma;abe;s494;4;1
comme;CON;subord;come_relemma;abe;s926;5;1
comme;CON;subord;come_relemma;amad;s11804;1;1
comme;CON;subord;come_relemma;amad;s11879;12;1
comme;CON;subord;come_relemma;amad;s12165;8;1
comme;CON;subord;come_relemma;amad;s12187;5;1
comme;CON;subord;come_relemma;amou;s16265;4;1
comme;CON;subord;come_relemma;anth;s19733;3;1
comme;CON;subord;come_relemma;anth;s20433;5;1
comme;CON;subord;come_relemma;artch;s23889;26;1
comme;CON;subord;come_relemma;artch;s23957;71;1
comme;CON;subord;come_relemma;artch;s24037;24;1
comme;CON;subord;come_relemma;artch;s24048;16;1
comme;CON;subord;come_relemma;athi;s26905;1;1
comme;CON;subord;come_relemma;bar;s30933;7;1
comme;CON;subord;come_relemma;barlaam;s31652;11;1
comme;CON;subord;come_relemma;barlaam;s31879;17;1
comme;CON;subord;come_relemma;barlaam;s32009;29;1
comme;CON;subord;come_relemma;barlaam;s32091;39;1
comme;CON;subord;come_relemma;barlaam;s32122;18;1
comme;CON;subord;come_relemma;barlaam;s32300;46;1
comme;CON;subord;come_relemma;barlaam;s32300;55;1
comme;CON;subord;come_relemma;beauv;s35421;6;1
comme;CON;subord;come_relemma;beauv;s35802;10;1
comme;CON;subord;come_relemma;beauv;s35815;5;1
comme;CON;subord;come_relemma;beauv;s35874;7;1
comme;CON;subord;come_relemma;beauv;s36169;8;1
comme;CON;subord;come_relemma;beauv;s36459;3;1
comme;CON;subord;come_relemma;beauv;s36464;6;1
comme;CON;subord;come_relemma;beauv;s36500;9;1
comme;CON;subord;come_relemma;beauv;s36903;6;1
comme;CON;subord;come_relemma;beauv;s37170;10;1
comme;CON;subord;come_relemma;beauv;s37176;4;1
comme;CON;subord;come_relemma;beauv;s37177;4;1
comme;CON;subord;come_relemma;beauv;s37307;2;1
comme;CON;subord;come_relemma;beauv;s37400;7;1
comme;CON;subord;come_relemma;beauv;s37493;8;1
comme;CON;subord;come_relemma;calex;s51211;2;1
comme;CON;subord;come_relemma;calex;s51729;3;1
comme;CON;subord;come_relemma;calex;s51807;4;1
comme;CON;subord;come_relemma;calex;s51962;1;1
comme;CON;subord;come_relemma;calex;s51974;5;1
comme;CON;subord;come_relemma;calex;s52041;2;1
comme;CON;subord;come_relemma;calex;s52626;4;1
comme;CON;subord;come_relemma;chastoi;s58919;2;1
comme;CON;subord;come_relemma;chastoi;s60611;2;1
comme;CON;subord;come_relemma;chastoi;s60659;1;1
comme;CON;subord;come_relemma;chastoi;s60735;1;1
comme;CON;subord;come_relemma;chastoi;s60844;3;1
comme;CON;subord;come_relemma;chauvency;s62024;2;1
comme;CON;subord;come_relemma;chauvency;s63266;4;1
comme;CON;subord;come_relemma;chauvency;s63497;2;1
comme;CON;subord;come_relemma;chauvency;s63650;2;1
comme;CON;subord;come_relemma;clari2;s71317;51;1
comme;CON;subord;come_relemma;clari2;s71331;50;1
comme;CON;subord;come_relemma;clari2;s71460;12;1
comme;CON;subord;come_relemma;clari2;s71517;54;1
comme;CON;subord;come_relemma;clari2;s71547;9;1
comme;CON;subord;come_relemma;clari2;s71741;2;1
comme;CON;subord;come_relemma;clari2;s71817;23;1
comme;CON;subord;come_relemma;clari2;s71845;17;1
comme;CON;subord;come_relemma;clari2;s71956;2;1
comme;CON;subord;come_relemma;clari2;s71982;4;1
comme;CON;subord;come_relemma;clari2;s72048;19;1
comme;CON;subord;come_relemma;clari2;s72115;66;1
comme;CON;subord;come_relemma;clef;s72132;5;1
comme;CON;subord;come_relemma;clef;s72148;3;1
comme;CON;subord;come_relemma;clef;s72164;2;1
comme;CON;subord;come_relemma;clef;s72413;1;1
comme;CON;subord;come_relemma;clef;s72930;2;1
comme;CON;subord;come_relemma;clef;s73089;5;1
