pos;lemma1;lemma2;word;F
DET_ndf_obj_femi_sg;en1;le;wne;1
DET_ndf_obj_masc_pl;en1;le_le;es;1
DET_ndf_obj_masc_sg;en1;le;u;1
ERROR;en1;le;el;1
ERROR;en1;le_le;es;1
NOM_obj_masc_pl;a;le_le;aus;1
NOM_obj_masc_pl;a;le_le;aux;1
NOM_obj_masc_sg;de;le_le;dou;1
NOM_obj_masc_sg;en1;le;eu;1
NPR_obj_masc_sg;de;le_le;des;1
PRE;a;le_le;al;1
PRE;de;le;dez;1
PRE;de;le_le;do;1
PRE;de;le_le;du;1
PRE;en1;le_le;on;1
PREDET_a_obj_femi_pl;a;le;alz;1
PREDET_a_obj_femi_pl;a;le_le;al;1
PREDET_a_obj_femi_sg;a;le_le;aus;1
PREDET_a_obj_femi_sg;de;le;del;1
PREDET_a_obj_masc_pl;a;le;aiz;1
PREDET_a_obj_masc_pl;a;le;alz;1
PREDET_a_obj_masc_pl;a;le;ass;1
PREDET_a_obj_masc_pl;a;le;ax;1
PREDET_a_obj_masc_sg;a;le;hau;1
PREDET_a_obj_masc_sg;a;le_le;aux;1
PREDET_a_suj_masc_sg;a;le_le;as;1
PREDET_a_suj_masc_sg;a;le_le;au;1
PREDET_de_obj_femi_pl;de;le;dau;1
PREDET_de_obj_femi_pl;en1;le_le;es;1
PREDET_de_obj_masc_pl;a;le_le;aus;1
PREDET_de_obj_masc_pl;de;le;dels;1
PREDET_de_obj_masc_pl;de;le;delz;1
PREDET_de_obj_masc_pl;de;le;deu;1
PREDET_de_suj_masc_sg;de;le;del;1
PREDET_de_suj_masc_sg;de;le_le;des;1
PREDET_de_suj_masc_sg;de;le_le;du;1
PREDET_en_obj_femi_pl;en1;le;el;1
PREDET_en_obj_femi_pl;en1;le_le;ou;1
PREDET_en_obj_femi_pl;en1;le;onz;1
PREDET_en_obj_femi_sg;en1;le_le;ou;1
PREDET_en_obj_masc_pl;en1;le;els;1
PREDET_en_obj_masc_pl;en1;le;elz;1
PREDET_en_obj_masc_pl;en1;le_le;on;1
PRO_invar;de;le_le;dou;1
PRO_invar;en1;le;el;1
PRO_invar;en1;le_le;ou;1
PRO_invar;qui;que4;cuike;1
PRO_invar;qui;que4;cuiq;1
PRO_invar;qui;que4;kyque;1
PRO_invar;qui;que4;qiqe;1
PRO_invar;qui;que4;quiqe;1
PRO_invar;qui;que4;quiunqes;1
PRO_pers_acc_3_masc_pl;bet_a;le;az;1
PRO_pers_acc_3_masc_pl;bet_a;le_le;as;1
PRO_pers_acc_3_masc_pl;bet_en1;le_le;es;1
PRO_pers_suj_3_femi_pl;en1;le;el;1
PRO_pers_suj_3_masc_sg;unb_en1;le;el;1
PROCON;en1;le;hu;1
PROCON;qui;que4;quiqu;1
VER_pper_masc_pl;a;le_le;auz;1
VER_pres_1_sg;de;le_le;do;1
VER_pres_3_pl;en1;le_le;on;1
VER_simp_1_sg;de;le_le;des;1
VER_simp_1_sg;en1;le_le;ou;1
VER_simp_2_sg;a;le_le;aus;1
