word;POS;POStype;lemma;id;ref1;ref2;F
com;CON;subord;come_relemma;abe;s1162;5 ;1
com;CON;subord;come_relemma;abe;s1236;4 ;1
com;CON;subord;come_relemma;abe;s1237;6 ;1
com;CON;subord;come_relemma;abe;s1239;3 ;1
com;CON;subord;come_relemma;abe;s1268;3 ;1
com;CON;subord;come_relemma;abe;s1271;3 ;1
com;CON;subord;come_relemma;abe;s1689;7 ;1
com;CON;subord;come_relemma;abe;s1690;3 ;1
com;CON;subord;come_relemma;abe;s1693;9 ;1
com;CON;subord;come_relemma;abe;s1694;7 ;1
com;CON;subord;come_relemma;abe;s228;4 ;1
com;CON;subord;come_relemma;abe;s230;3 ;1
com;CON;subord;come_relemma;abe;s246;1 ;1
com;CON;subord;come_relemma;abe;s2478;6 ;1
com;CON;subord;come_relemma;abe;s598;5 ;1
com;CON;subord;come_relemma;abe;s669;2 ;1
com;CON;subord;come_relemma;abe;s721;1 ;1
com;CON;subord;come_relemma;abe;s749;3 ;1
com;CON;subord;come_relemma;abe;s792;2 ;1
com;CON;subord;come_relemma;abe;s794;1 ;1
com;CON;subord;come_relemma;abe;s796;2 ;1
com;CON;subord;come_relemma;abe;s798;3 ;1
com;CON;subord;come_relemma;abe;s837;3 ;1
com;CON;subord;come_relemma;abe;s837;8 ;1
com;CON;subord;come_relemma;abe;s871;6 ;1
com;CON;subord;come_relemma;abe;s907;1 ;1
com;CON;subord;come_relemma;abe;s909;6 ;1
com;CON;subord;come_relemma;abe;s910;4 ;1
com;CON;subord;come_relemma;abe;s911;6 ;1
com;CON;subord;come_relemma;aileb;s3610;1 ;1
com;CON;subord;come_relemma;aileg;s4768;2 ;1
com;CON;subord;come_relemma;aiol;s6730;2 ;1
com;CON;subord;come_relemma;alexo;s8051;4 ;1
com;CON;subord;come_relemma;alexo;s8541;2 ;1
com;CON;subord;come_relemma;alia;s10010;2 ;1
com;CON;subord;come_relemma;alia;s10031;9 ;1
com;CON;subord;come_relemma;alia;s10034;2 ;1
com;CON;subord;come_relemma;alia;s10061;6 ;1
com;CON;subord;come_relemma;alia;s10087;2 ;1
com;CON;subord;come_relemma;alia;s10497;5 ;1
com;CON;subord;come_relemma;alia;s11264;6 ;1
com;CON;subord;come_relemma;alia;s11338;4 ;1
com;CON;subord;come_relemma;alia;s9075;2 ;1
com;CON;subord;come_relemma;alia;s9726;6 ;1
com;CON;subord;come_relemma;alia;s9807;8 ;1
com;CON;subord;come_relemma;alia;s9914;2 ;1
com;CON;subord;come_relemma;amad;s11684;7 ;1
com;CON;subord;come_relemma;amad;s11700;13 ;1
com;CON;subord;come_relemma;amad;s11701;9 ;1
com;CON;subord;come_relemma;amad;s11705;7 ;1
com;CON;subord;come_relemma;amad;s11722;27 ;1
com;CON;subord;come_relemma;amad;s11728;3 ;1
com;CON;subord;come_relemma;amad;s11738;6 ;1
