word;POS;POStype;lemma;id;ref1;ref2;F
com;CON;subord;come1;abe;s1162;5 ;1
com;CON;subord;come1;abe;s1236;4 ;1
com;CON;subord;come1;abe;s1237;6 ;1
com;CON;subord;come1;abe;s1239;3 ;1
com;CON;subord;come1;abe;s1268;3 ;1
com;CON;subord;come1;abe;s1271;3 ;1
com;CON;subord;come1;abe;s1689;7 ;1
com;CON;subord;come1;abe;s1690;3 ;1
com;CON;subord;come1;abe;s1693;9 ;1
com;CON;subord;come1;abe;s1694;7 ;1
com;CON;subord;come1;abe;s228;4 ;1
com;CON;subord;come1;abe;s230;3 ;1
com;CON;subord;come1;abe;s246;1 ;1
com;CON;subord;come1;abe;s2478;6 ;1
com;CON;subord;come1;abe;s598;5 ;1
com;CON;subord;come1;abe;s669;2 ;1
com;CON;subord;come1;abe;s721;1 ;1
com;CON;subord;come1;abe;s749;3 ;1
com;CON;subord;come1;abe;s792;2 ;1
com;CON;subord;come1;abe;s794;1 ;1
com;CON;subord;come1;abe;s796;2 ;1
com;CON;subord;come1;abe;s798;3 ;1
com;CON;subord;come1;abe;s837;3 ;1
com;CON;subord;come1;abe;s837;8 ;1
com;CON;subord;come1;abe;s871;6 ;1
com;CON;subord;come1;abe;s907;1 ;1
com;CON;subord;come1;abe;s909;6 ;1
com;CON;subord;come1;abe;s910;4 ;1
com;CON;subord;come1;abe;s911;6 ;1
com;CON;subord;come1;aileb;s3610;1 ;1
com;CON;subord;come1;aileg;s4768;2 ;1
com;CON;subord;come1;aiol;s6730;2 ;1
com;CON;subord;come1;alexo;s8051;4 ;1
com;CON;subord;come1;alexo;s8541;2 ;1
com;CON;subord;come1;alia;s10010;2 ;1
com;CON;subord;come1;alia;s10031;9 ;1
com;CON;subord;come1;alia;s10034;2 ;1
com;CON;subord;come1;alia;s10061;6 ;1
com;CON;subord;come1;alia;s10087;2 ;1
com;CON;subord;come1;alia;s10497;5 ;1
com;CON;subord;come1;alia;s11264;6 ;1
com;CON;subord;come1;alia;s11338;4 ;1
com;CON;subord;come1;alia;s9075;2 ;1
com;CON;subord;come1;alia;s9726;6 ;1
com;CON;subord;come1;alia;s9807;8 ;1
com;CON;subord;come1;alia;s9914;2 ;1
com;CON;subord;come1;amad;s11684;7 ;1
com;CON;subord;come1;amad;s11700;13 ;1
com;CON;subord;come1;amad;s11701;9 ;1
com;CON;subord;come1;amad;s11705;7 ;1
com;CON;subord;come1;amad;s11722;27 ;1
com;CON;subord;come1;amad;s11728;3 ;1
com;CON;subord;come1;amad;s11738;6 ;1
com;CON;subord;come1;amad;s11773;1 ;1
com;CON;subord;come1;amad;s11792;17 ;1
com;CON;subord;come1;amad;s11807;8 ;1
com;CON;subord;come1;amad;s11814;11 ;1
com;CON;subord;come1;amad;s11823;18 ;1
com;CON;subord;come1;amad;s11845;39 ;1
com;CON;subord;come1;amad;s11847;7 ;1
com;CON;subord;come1;amad;s11869;18 ;1
com;CON;subord;come1;amad;s11883;3 ;1
com;CON;subord;come1;amad;s11891;7 ;1
com;CON;subord;come1;amad;s11913;32 ;1
com;CON;subord;come1;amad;s11969;19 ;1
com;CON;subord;come1;amad;s11969;24 ;1
com;CON;subord;come1;amad;s11969;9 ;1
com;CON;subord;come1;amad;s12000;42 ;1
com;CON;subord;come1;amad;s12018;20 ;1
com;CON;subord;come1;amad;s12024;9 ;1
com;CON;subord;come1;amad;s12043;1 ;1
com;CON;subord;come1;amad;s12051;2 ;1
com;CON;subord;come1;amad;s12061;25 ;1
com;CON;subord;come1;amad;s12063;29 ;1
com;CON;subord;come1;amad;s12096;39 ;1
com;CON;subord;come1;amad;s12102;7 ;1
com;CON;subord;come1;amad;s12207;14 ;1
com;CON;subord;come1;amad;s12220;7 ;1
com;CON;subord;come1;amad;s12249;25 ;1
com;CON;subord;come1;amad;s12259;9 ;1
com;CON;subord;come1;amad;s12315;1 ;1
com;CON;subord;come1;amad;s12322;4 ;1
com;CON;subord;come1;amad;s12336;13 ;1
com;CON;subord;come1;amad;s12337;6 ;1
com;CON;subord;come1;amad;s12343;16 ;1
com;CON;subord;come1;amad;s12347;42 ;1
com;CON;subord;come1;amad;s12352;11 ;1
com;CON;subord;come1;amad;s12353;22 ;1
com;CON;subord;come1;amad;s12354;18 ;1
com;CON;subord;come1;amad;s12356;30 ;1
com;CON;subord;come1;amad;s12385;15 ;1
com;CON;subord;come1;amile;s12393;5 ;1
com;CON;subord;come1;amile;s12744;4 ;1
com;CON;subord;come1;amile;s12802;2 ;1
com;CON;subord;come1;amile;s13077;7 ;1
com;CON;subord;come1;amo;s13237;1 ;1
com;CON;subord;come1;amo;s13291;2 ;1
com;CON;subord;come1;amo;s13388;2 ;1
com;CON;subord;come1;amo;s13554;3 ;1
com;CON;subord;come1;amo;s13779;2 ;1
com;CON;subord;come1;amo;s14578;2 ;1
com;CON;subord;come1;amo;s15062;2 ;1
com;CON;subord;come1;amo;s15286;4 ;1
com;CON;subord;come1;amo;s15353;5 ;1
com;CON;subord;come1;amo;s15370;2 ;1
com;CON;subord;come1;amo;s15559;1 ;1
com;CON;subord;come1;amou;s15589;3 ;1
com;CON;subord;come1;amou;s15638;3 ;1
com;CON;subord;come1;amou;s15875;2 ;1
com;CON;subord;come1;amou;s15876;2 ;1
com;CON;subord;come1;amou;s15889;2 ;1
com;CON;subord;come1;amou;s15890;2 ;1
com;CON;subord;come1;amou;s15891;2 ;1
com;CON;subord;come1;amou;s15892;2 ;1
com;CON;subord;come1;amou;s15893;2 ;1
com;CON;subord;come1;amou;s15963;3 ;1
com;CON;subord;come1;amou;s15973;2 ;1
com;CON;subord;come1;amou;s15990;5 ;1
com;CON;subord;come1;amou;s16035;3 ;1
com;CON;subord;come1;amou;s16039;4 ;1
com;CON;subord;come1;amou;s16040;4 ;1
com;CON;subord;come1;amou;s16041;4 ;1
com;CON;subord;come1;amou;s16107;1 ;1
com;CON;subord;come1;amou;s16108;1 ;1
com;CON;subord;come1;amou;s16109;1 ;1
com;CON;subord;come1;amou;s16113;1 ;1
com;CON;subord;come1;amou;s16114;1 ;1
com;CON;subord;come1;amou;s16115;1 ;1
com;CON;subord;come1;amou;s16116;1 ;1
com;CON;subord;come1;amou;s16117;1 ;1
com;CON;subord;come1;amou;s16118;1 ;1
com;CON;subord;come1;amou;s16119;1 ;1
com;CON;subord;come1;amou;s16120;1 ;1
com;CON;subord;come1;amou;s16121;1 ;1
com;CON;subord;come1;amou;s16122;1 ;1
com;CON;subord;come1;amou;s16123;1 ;1
com;CON;subord;come1;amou;s16124;1 ;1
