word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
ales;PRO;pers;acc;3;femi;pl;UNKNOWN;bern2;s42811;3 ;1
ales;PRO;pers;suj;3;femi;pl;ale1-ale2;yzop;s440555;2 ;1
ales;PRO;pers;suj;3;femi;pl;UNKNOWN;abreja;s2536;17 ;1
deles;PRO;pers;acc;3;femi;pl;UNKNOWN;chastoi;s59225;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;ailea;s3506;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;aileg;s5162;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;ailet;s6055;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;alia;s11239;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;alia;s11245;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;alia;s11549;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;amad;s12308;15 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;amo;s13562;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;amo;s15394;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;athi;s24613;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;benoit;s38586;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;benoit;s38967;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;bern2;s43403;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cass;s58180;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cass;s58183;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;chastoi;s59961;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;chastoi;s60777;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;chret1;s64924;14 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;chret2;s66109;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cleom;s75576;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cleom;s75594;8 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cleom;s75829;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;coinci;s78335;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;compoit;s79396;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;conperc;s81759;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cou;s89814;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;cou;s89877;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;darm;s90429;10 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;elid;s102879;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;elid;s104031;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;eneas;s106907;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;eneas;s106909;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;eneas;s106920;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;evratC2;s119296;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;guigS;s172239;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;herm;s175906;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s179071;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s179313;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s179316;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s180925;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s181469;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s181777;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s181809;7 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalC;s203393;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalC;s203854;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalC;s203855;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalH;s204030;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalH;s204212;3 ;1
