word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
l;PRO;pers;acc;3;femi;sg;il;fablesA;s131999;3 ;1
l;PRO;pers;acc;3;femi;sg;il;reis;s346310;9 ;1
